Name,Set,Type,Numbered,Team
Peter Forsberg,1999-00 Upper Deck MVP 21st Century NHL #21st-4,Insert,,Avalanche
Vincent Lecavalier,1999-00 Upper Deck MVP 21st Century NHL #21st-5,Insert,,Lightning
Marian Hossa,1999-00 Upper Deck MVP 21st Century NHL #21st-8,Insert,,Senators
Pavel Bure,1999-00 Upper Deck MVP 90�s Snapshots #S10,Insert,,Panthers
Teemu Selanne,1999-00 Upper Deck MVP 90�s Snapshots #S8,Insert,,Mighty Ducks
Steve Yzerman,1999-00 Upper Deck MVP Hands of Gold #H10,Insert,,Red Wings
Mike Modano,1999-00 Upper Deck MVP Hands of Gold #H11,Insert,,Stars
Brett Hull,1999-00 Upper Deck MVP Hands of Gold #H2,Insert,,Stars
Pavel Bure,1999-00 Upper Deck MVP Hands of Gold #H3,Insert,,Panthers
Teemu Selanne,1999-00 Upper Deck MVP Hands of Gold #H4,Insert,,Mighty Ducks
Peter Forsberg,1999-00 Upper Deck MVP Hands of Gold #H6,Insert,,Avalanche
Paul Kariya,1999-00 Upper Deck MVP Hands of Gold #H8,Insert,,Mighty Ducks
Jaromir Jagr,1999-00 Upper Deck MVP Hands of Gold #H9,Insert,,Penguins
Martin Brodeur,1999-00 Upper Deck MVP Last Line #LL2,Insert,,Devils
John Vanbiesbrouck,1999-00 Upper Deck MVP Last Line #LL7,Insert,,Flyers
Jaromir Jagr,1999-00 Upper Deck MVP MVP Talent #MVP8,Insert,,Penguins
Wayne Gretzky,1999-00 Upper Deck MVP Silver Script #1,Parallel,,Oilers
Saku Koivu,1999-00 Upper Deck MVP Silver Script #100,Parallel,,Canadiens
Martin Brodeur,1999-00 Upper Deck MVP Silver Script #115,Parallel,,Devils
Joe Thornton,1999-00 Upper Deck MVP Silver Script #13,Parallel,,Bruins
Zdeno Chara,1999-00 Upper Deck MVP Silver Script #130,Parallel,,Islanders
Wayne Gretzky,1999-00 Upper Deck MVP Silver Script #131,Parallel,,Rangers
Daniel Alfredsson,1999-00 Upper Deck MVP Silver Script #140,Parallel,,Senators
Marian Hossa,1999-00 Upper Deck MVP Silver Script #144,Parallel,,Senators
Eric Lindros,1999-00 Upper Deck MVP Silver Script #146,Parallel,,Flyers
John LeClair,1999-00 Upper Deck MVP Silver Script #148,Parallel,,Flyers
Jeremy Roenick,1999-00 Upper Deck MVP Silver Script #156,Parallel,,Coyotes
Pierre Turgeon,1999-00 Upper Deck MVP Silver Script #184,Parallel,,Blues
Chris Pronger,1999-00 Upper Deck MVP Silver Script #186,Parallel,,Blues
Mats Sundin,1999-00 Upper Deck MVP Silver Script #196,Parallel,,Maple Leafs
Mats Sundin,1999-00 Upper Deck MVP Silver Script #196,Parallel,,Maple Leafs
Mark Messier,1999-00 Upper Deck MVP Silver Script #204,Parallel,,Canucks
Wayne Gretzky,1999-00 Upper Deck MVP Silver Script #219,Parallel,,Oilers
Jarome Iginla,1999-00 Upper Deck MVP Silver Script #32,Parallel,,Flames
Paul Kariya,1999-00 Upper Deck MVP Silver Script #4,Parallel,,Mighty Ducks
Ron Francis,1999-00 Upper Deck MVP Silver Script #40,Parallel,,Hurricanes
Teemu Selanne,1999-00 Upper Deck MVP Silver Script #5,Parallel,,Mighty Ducks
Peter Forsberg,1999-00 Upper Deck MVP Silver Script #52,Parallel,,Avalanche
Brett Hull,1999-00 Upper Deck MVP Silver Script #60,Parallel,,Stars
Sergei Fedorov,1999-00 Upper Deck MVP Silver Script #68,Parallel,,Red Wings
Chris Chelios,1999-00 Upper Deck MVP Silver Script #73,Parallel,,Red Wings
Luc Robitaille,1999-00 Upper Deck MVP Silver Script #96,Parallel,,Kings
Marian Hossa,1999-00 Upper Deck MVP Stanley Cup Edition Cup Contenders #CC7,Insert,,Senators
Paul Kariya,1999-00 Upper Deck MVP Stanley Cup Edition Golden Memories #GM1,Insert,,Mighty Ducks
Mike Modano,1999-00 Upper Deck MVP Stanley Cup Edition Golden Memories #GM4,Insert,,Stars
Theoren Fleury,1999-00 Upper Deck MVP Stanley Cup Edition Golden Memories #GM7,Insert,,Rangers
Eric Lindros,1999-00 Upper Deck MVP Stanley Cup Edition Golden Memories #GM8,Insert,,Flyers
Mark Messier,1999-00 Upper Deck MVP Stanley Cup Edition Second Season Snipers #SS12,Insert,,Canucks
Claude Lemieux,1999-00 Upper Deck MVP Stanley Cup Edition Second Season Snipers #SS6,Insert,,Devils
Keith Tkachuk,1999-00 Upper Deck MVP Stanley Cup Edition Second Season Snipers #SS9,Insert,,Coyotes
Paul Kariya,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC1,Insert,,Mighty Ducks
Martin Brodeur,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC10,Insert,,Devils
Eric Lindros,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC12,Insert,,Flyers
Jaromir Jagr,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC14,Insert,,Penguins
Mats Sundin,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC18,Insert,,Maple Leafs
Mark Messier,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC19,Insert,,Canucks
Teemu Selanne,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC2,Insert,,Mighty Ducks
Sergei Fedorov,1999-00 Upper Deck MVP Stanley Cup Edition Stanley Cup Talent #SC7,Insert,,Red Wings
Patrick Roy,1999-00 Upper Deck NHL Scrapbook #SB-1,Insert,,Avalanche
Gordie Howe,1999-00 Upper Deck Ovation Center Stage #CS19,Insert,,Red Wings
Gordie Howe,1999-00 Upper Deck Ovation Center Stage #CS8,Insert,,Red Wings
Paul Kariya,1999-00 Upper Deck Retro Gold #1,Parallel,093/150,Mighty Ducks
Jari Kurri,1999-00 Upper Deck Retro Gold #108,Parallel,110/150,Oilers
Joe Thornton,1999-00 Upper Deck Retro Gold #6,Parallel,082/150,Bruins
Bill Muckalt,1999-00 Upper Deck Retro Gold #78,Parallel,103/150,Canucks
Bobby Orr,1999-00 Upper Deck Retro Turn of the Century #TC15,Insert,,Bruins
Martin Brodeur,1999-00 Upper Deck Retro Turn of the Century #TC2,Insert,,Devils
Paul Kariya,1999-00 Upper Deck Retro Turn of the Century #TC4,Insert,,Mighty Ducks
Paul Kariya,1999-00 Upper Deck Sixth Sense #SS1,Insert,,Mighty Ducks
Pavel Bure,1999-00 Upper Deck Ultimate Victory Frozen Fury #FF-3,Insert,,Panthers
Paul Kariya,1999-00 Upper Deck Ultimate Victory Smokin Guns #SG-2,Insert,,Mighty Ducks
Marian Hossa,1999-00 Upper Deck Ultimate Victory Smokin Guns #SG-6,Insert,,Senators
Patrik Stefan,1999-00 Upper Deck Ultimate Victory Smokin Guns #SG-8,Insert,,Thrashers
Pavel Bure,1999-00 Upper Deck Ultimate Victory Smokin Guns #SG-9,Insert,,Panthers
Keith Tkachuk,1999-00 Upper Deck Ultimate Victory Stature #S10,Insert,,Coyotes
Joe Sakic,1999-00 Upper Deck Ultimate Victory Stature #S2,Insert,,Avalanche
Peter Forsberg,1999-00 Upper Deck Ultimate Victory Stature #S3,Insert,,Avalanche
Mike Modano,1999-00 Upper Deck Ultimate Victory Stature #S4,Insert,,Stars
Brendan Shanahan,1999-00 Upper Deck Ultimate Victory Stature #S5,Insert,,Red Wings
Eric Lindros,1999-00 Upper Deck Ultimate Victory Stature #S9,Insert,,Flyers
Patrick Roy,1999-00 Upper Deck Wayne Gretzky Hockey Changing the Game #GC-10,Insert,,Avalanche
Evgeni Nabokov,2000-01 BAP Memorabilia Ruby #140,Parallel,199/200,Sharks
Patrick Lalime,2000-01 BAP Signature Series Autograph #30,Autograph,,Senators
Martin Brodeur,2000-01 BAP Signature Series Ruby #164,Parallel,046/200,Devils
Joe Sakic,2000-01 BAP Signature Series Ruby #167,Parallel,182/200,Avalanche
Luc Robitaille,2000-01 BAP Signature Series Ruby #204,Parallel,077/200,Kings
Joe Thornton,2000-01 BAP Signature Series Ruby #36,Parallel,178/200,Bruins
Sergei Zubov,2000-01 BAP Signature Series Ruby #7,Parallel,185/200,Stars
Alexei Kovalev,2000-01 BAP Signature Series Sapphire #24,Parallel,030/100,Penguins
Dominik Hasek,2000-01 Crown Royale Jewels of the Crown #6,Insert,,Sabres
Mike Modano,2000-01 Crown Royale Premiere Date #36,Parallel,27/80,Stars
Peter Bondra,2000-01 Crown Royale Red #106,Parallel,,Capitals
Adam Oates,2000-01 Crown Royale Red #108,Parallel,,Capitals
Joe Nieuwendyk,2000-01 Crown Royale Red #37,Parallel,,Stars
Paul Kariya,2000-01 McDonald�s Prism #1,Insert,,Mighty Ducks
Joe Sakic,2000-01 McDonald�s Prism #10,Insert,,Avalanche
Mike Modano,2000-01 McDonald�s Prism #12,Insert,,Stars
Steve Yzerman,2000-01 McDonald�s Prism #15,Insert,,Red Wings
Pavel Bure,2000-01 McDonald�s Prism #17,Insert,,Panthers
Teemu Selanne,2000-01 McDonald�s Prism #2,Insert,,Mighty Ducks
Martin Brodeur,2000-01 McDonald�s Prism #20,Insert,,Devils
Jaromir Jagr,2000-01 McDonald�s Prism #27,Insert,,Penguins
Mats Sundin,2000-01 McDonald�s Prism #33,Insert,,Maple Leafs
Joe Thornton,2000-01 McDonald�s Prism #4,Insert,,Bruins
Dominik Hasek,2000-01 McDonald�s Prism #5,Insert,,Sabres
Peter Forsberg,2000-01 McDonald�s Prism #8,Insert,,Avalanche
Mark Messier,2000-01 O-Pee-Chee 1000 Point Club #1000PC-1,Insert,,Canucks
Jaromir Jagr,2000-01 O-Pee-Chee Hobby Masters #HM5,Insert,,Penguins
Paul Kariya,2000-01 Pacific Aurora Championship Fever #1,Insert,,Mighty Ducks
Sergei Fedorov,2000-01 Pacific Aurora Championship Fever #10,Insert,,Red Wings
Brendan Shanahan,2000-01 Pacific Aurora Championship Fever #11,Insert,,Red Wings
Mark Messier,2000-01 Pacific Aurora Championship Fever #16,Insert,,Canucks
Ray Bourque,2000-01 Pacific Aurora Championship Fever #4,Insert,,Avalanche
Paul Kariya,2000-01 Pacific Aurora Championship Fever Silver #1,Insert,185/221,Mighty Ducks
Mark Messier,2000-01 Pacific Aurora Championship Fever Silver #16,Insert,186/221,Canucks
Peter Bondra,2000-01 Pacific Aurora Game-Worn Jersey #10,Game Used,,Capitals
Paul Kariya,2000-01 Pacific Aurora Team Player Styrotechs #1A,Insert,,Mighty Ducks
Dominik Hasek,2000-01 Pacific Euro-Stars #2,Insert,,Sabres
Peter Forsberg,2000-01 Pacific Euro-Stars #3,Insert,,Avalanche
Sergei Fedorov,2000-01 Pacific Euro-Stars #4,Insert,,Red Wings
Mike Dunham,2000-01 Pacific Gold #220,Parallel,18/50,Predators
Mats Sundin,2000-01 Pacific Gold Crown Die-Cuts #33,Insert,,Maple Leafs
Peter Forsberg,2000-01 Pacific Gold Crown Die-Cuts #8,Insert,,Avalanche
Mike Modano,2000-01 Pacific Paramount Copper #79,Parallel,,Stars
Paul Kariya,2000-01 Pacific Paramount Freeze Frame #1,Insert,,Mighty Ducks
Brendan Shanahan,2000-01 Pacific Paramount Freeze Frame #15,Insert,,Red Wings
Paul Kariya,2000-01 Pacific Paramount Hall of Fame Bound #1,Insert,,Mighty Ducks
Luc Robitaille,2000-01 Pacific Paramount Holo-Silver #114,Parallel,29/74,Kings
Mike Dunham,2000-01 Pacific Paramount Holo-Silver #134,Parallel,49/74,Predators
Shane Doan,2000-01 Pacific Paramount Holo-Silver #187,Parallel,27/74,Coyotes
Vincent Damphousse,2000-01 Pacific Paramount Holo-Silver #212,Parallel,37/74,Sharks
Mike Modano,2000-01 Pacific Paramount Ice Blue #79,Parallel,48/50,Stars
Brendan Shanahan,2000-01 Pacific Vanguard High Voltage Gold #13,Insert,097/199,Red Wings
Martin Brodeur,2000-01 Pacific Vanguard High Voltage Gold #19,Insert,107/199,Devils
Paul Kariya,2000-01 Pacific Vanguard High Voltage Red #1,Insert,181/299,Mighty Ducks
Paul Kariya,2000-01 Pacific Vanguard Premiere Date #2,Parallel,065/100,Mighty Ducks
Simon Gagne,2000-01 Pacific Vanguard Premiere Date #72,Parallel,080/100,Flyers
Patrick Roy,2000-01 Pacific Vanguard Press #4,Insert,,Avalanche
Teemu Selanne,2000-01 Private Stock Game Used Gear #3,Game Used,,Mighty Ducks
Scott Niedermayer,2000-01 Private Stock Game Used Gear #64,Game Used,,Devils
Jaromir Jagr,2000-01 Private Stock Game Used Gear #89,Game Used,,Penguins
Paul Kariya,2000-01 Private Stock Premiere Date #2,Parallel,22/60,Mighty Ducks
Jeremy Roenick,2000-01 Private Stock Silver #76,Parallel,041/120,Coyotes
Marian Hossa,2000-01 Revolution #103,Base,,Senators
Jeremy Roenick,2000-01 Revolution #114,Base,,Coyotes
Keith Tkachuk,2000-01 Revolution #115,Base,,Coyotes
Chris Pronger,2000-01 Revolution #124,Base,,Blues
Pierre Turgeon,2000-01 Revolution #126,Base,,Blues
Peter Bondra,2000-01 Revolution #146,Base,,Capitals
Paul Kariya,2000-01 Revolution #2,Base,,Mighty Ducks
Brett Hull,2000-01 Revolution #46,Base,,Stars
Mike Modano,2000-01 Revolution #47,Base,,Stars
Zigmund Palffy,2000-01 Revolution #68,Base,,Kings
Luc Robitaille,2000-01 Revolution #69,Base,,Kings
Saku Koivu,2000-01 Revolution #76,Base,,Canadiens
Scott Gomez,2000-01 Revolution #87,Base,,Devils
Theoren Fleury,2000-01 Revolution #94,Base,,Rangers
Brian Leetch,2000-01 Revolution #96,Base,,Rangers
Mark Messier,2000-01 Revolution #97,Base,,Canucks
Paul Kariya,2000-01 Revolution HD NHL #1,Insert,,Mighty Ducks
Tony Amonte,2000-01 Revolution Premiere Date #29,Parallel,60/60,Blackhawks
Petr Sykora,2000-01 Revolution Red #89,Parallel,15/99,Devils
Mark Recchi,2000-01 Revolution Shadow Series Blue #111,Parallel,58/85,Flyers
Paul Kariya,2000-01 Revolution Shadow Series Blue #2,Parallel,17/85,Mighty Ducks
Adam Oates,2000-01 Revolution Stat Masters #30,Insert,267/299,Capitals
Wayne Gretzky,2000-01 SP Authentic Power Skaters #P7,Insert,,Rangers
Petr Sykora,2000-01 SP Authentic Sign of the Times #PS,Autograph,,Devils
Peter Forsberg,2000-01 SP Authentic Significant Stars #ST1,Insert,,Avalanche
Brett Hull,2000-01 SP Authentic Significant Stars #ST2,Insert,,Stars
Pavel Bure,2000-01 SP Authentic Significant Stars #ST4,Insert,,Panthers
Mark Messier,2000-01 SP Authentic Significant Stars #ST5,Insert,,Rangers
Paul Kariya,2000-01 SP Authentic SP Honor #SP1,Insert,,Mighty Ducks
Pavel Bure,2000-01 SP Authentic SP Honor #SP3,Insert,,Panthers
Mark Messier,2000-01 SP Authentic SP Honor #SP5,Insert,,Rangers
Patrick Roy,2000-01 SP Authentic Super Stoppers #SS2,Insert,,Avalanche
Al MacInnis,2000-01 SP Game Used Edition Tools of the Game #AM,Game Used,,Blues
Keith Tkachuk,2000-01 SP Game Used Edition Tools of the Game #KT,Game Used,,Coyotes
Paul Kariya,2000-01 SP Game Used Edition Tools of the Game #PK,Game Used,,Mighty Ducks
Sergei Fedorov,2000-01 SP Game Used Edition Tools of the Game #SF,Game Used,,Red Wings
Teemu Selanne,2000-01 SP Game Used Edition Tools of the Game #TS,Game Used,,Mighty Ducks
Paul Kariya,2000-01 SPx Highlight Heroes #HH1,Insert,,Mighty Ducks
Brian Boucher,2000-01 SPx Highlight Heroes #HH10,Insert,,Flyers
Patrik Stefan,2000-01 SPx Highlight Heroes #HH2,Insert,,Thrashers
Brett Hull,2000-01 SPx Highlight Heroes #HH6,Insert,,Stars
Pavel Bure,2000-01 SPx Highlight Heroes #HH8,Insert,,Panthers
Marian Hossa,2000-01 SPx Highlight Heroes #HH9,Insert,,Senators
Ray Bourque,2000-01 SPx Prolifics #P2,Insert,,Avalanche
Brett Hull,2000-01 SPx Prolifics #P3,Insert,,Stars
Mark Messier,2000-01 SPx Prolifics #P5,Insert,,Rangers
Teemu Selanne,2000-01 SPx SPxcitement #X1,Insert,,Mighty Ducks
Vincent Lecavalier,2000-01 SPx SPxcitement #X13,Insert,,Lightning
Mike Modano,2000-01 SPx SPxcitement #X5,Insert,,Stars
Sergei Fedorov,2000-01 SPx SPxcitement #X6,Insert,,Red Wings
Mike Modano,2000-01 SPx SPxtreme #S3,Insert,,Stars
John LeClair,2000-01 SPx SPxtreme #S6,Insert,,Flyers
John LeClair,2000-01 SPx Winning Materials #jl,Game Used,,Flyers
Kenny Jonsson,2000-01 SPx Winning Materials #kj,Game Used,,Islanders
Keith Tkachuk,2000-01 SPx Winning Materials #kt,Game Used,,Coyotes
Peter Forsberg,2000-01 SPx Winning Materials #pf,Game Used,,Avalanche
Keith Tkachuk,2000-01 SPx Winning Materials #tk,Game Used,,Coyotes
Teemu Selanne,2000-01 SPx Winning Materials #ts,Game Used,,Mighty Ducks
Brian Boucher,2000-01 Stadium Club Glove Save #GS5,Insert,,Flyers
Brendan Shanahan,2000-01 Stadium Club Special Forces #SF12,Insert,,Red Wings
Jaromir Jagr,2000-01 Stadium Club Special Forces #SF8,Insert,,Penguins
John LeClair,2000-01 Stadium Club Special Forces #SF9,Insert,,Flyers
Mike Modano,2000-01 Titanium Game-Worn Jersey #33,Game Used,0601/1015,Stars
Patrick Lalime,2000-01 Titanium Gold #66,Parallel,93/99,Senators
Paul Kariya,2000-01 Titanium North America All-Stars #1,Insert,0052/1000,Mighty Ducks
Theoren Fleury,2000-01 Titanium North America All-Stars #8,Insert,0714/1000,Rangers
Patrick Lalime,2000-01 Titanium Premiere Date #66,Parallel,143/185,Senators
Chris Pronger,2000-01 Titanium Premiere Date #81,Parallel,164/185,Blues
Paul Kariya,2000-01 Titanium Red #1,Parallel,150/299,Mighty Ducks
Adam Oates,2000-01 Titanium Red #100,Parallel,257/299,Capitals
Joe Sakic,2000-01 Titanium Red #23,Parallel,209/299,Avalanche
Alexander Mogilny,2000-01 Titanium Red #56,Parallel,093/299,Devils
Brian Leetch,2000-01 Titanium Red #61,Parallel,078/299,Rangers
Patrick Lalime,2000-01 Titanium Red #66,Parallel,067/299,Senators
Paul Kariya,2000-01 Titanium Three Star Selections #11,Insert,0651/1100,Mighty Ducks
Sergei Fedorov,2000-01 Titanium Three Star Selections #14,Insert,0200/1100,Red Wings
Ron Francis,2000-01 Topps 1000 Point Club #1000PC-3,Insert,,Hurricanes
Teemu Selanne/Paul Kariya,2000-01 Topps Chrome Combos #TC2,Insert,,Mighty Ducks
Peter Forsberg/Mike Modano,2000-01 Topps Chrome Combos #TC5,Insert,,Avalanche/Stars
Patrick Lalime,2000-01 Topps Chrome Refractor #158,Parallel,,Senators
Teemu Selanne,2000-01 Topps Chrome Rocket�s Flare Refractor #RF10,Insert,,Mighty Ducks
John LeClair,2000-01 Topps Chrome Rocket�s Flare Refractor #RF3,Insert,,Flyers
Luc Robitaille,2000-01 Topps Chrome Rocket�s Flare Refractor #RF5,Insert,,Kings
Curtis Joseph,2000-01 Topps Gold Label Behind the Mask #BTM1,Insert,,Maple Leafs
Joe Sakic,2000-01 Topps Gold Label Class 1 #65,Base,,Avalanche
Luc Robitaille,2000-01 Topps Gold Label Golden Greats #GG12,Insert,,Kings
Jeremy Roenick,2000-01 Topps Gold Label Golden Greats #GG15,Insert,,Coyotes
John LeClair,2000-01 Topps Gold Label Golden Greats #GG4,Insert,,Flyers
Marian Hossa,2000-01 Topps Heritage New Tradition #NT1,Insert,,Senators
Peter Forsberg,2000-01 Topps Hobby Masters #3,Insert,,Avalanche
Paul Kariya,2000-01 Topps Hobby Masters #7,Insert,,Mighty Ducks
Mario Lemieux,2000-01 Topps Mario Lemieux Reprints #15,Insert,,Penguins
Simon Gagne,2000-01 Topps Own the Game #OTG24,Insert,,Flyers
Teemu Selanne,2000-01 Topps Own the Game #OTG5,Insert,,Mighty Ducks
Mike Modano,2000-01 Topps Own the Game #OTG8,Insert,,Stars
Paul Kariya,2000-01 Topps Premier Plus Blue Ice #10,Parallel,/250,Mighty Ducks
Henrik Sedin,2000-01 Topps Premier Plus Premier Rookies #PR2,Insert,,Canucks
Paul Kariya,2000-01 Topps Premier Plus Premier Team #PT1,Insert,,Mighty Ducks
Sergei Fedorov,2000-01 Topps Premier Plus Trophy Tribute #TT10,Insert,,Red Wings
Paul Kariya,2000-01 Topps Premier Plus Trophy Tribute #TT5,Insert,,Mighty Ducks
Jeremy Roenick,2000-01 Topps Stars Blue #16,Parallel,143/299,Coyotes
Joe Nieuwendyk,2000-01 Topps Stars Blue #67,Parallel,068/299,Stars
Jarome Iginla,2000-01 Topps Stars Blue #74,Parallel,110/299,Flames
Dave Andreychuk,2000-01 Topps Stars Blue #95,Parallel,199/299,Sabres
Keith Tkachuk,2000-01 Topps Stars Game Gear #GG-KT,Game Used,,Coyotes
Teemu Selanne,2000-01 Topps Stars Game Gear #GG-TS,Game Used,,Mighty Ducks
Paul Kariya,2000-01 Topps Stars Walk of Fame #WF2,Insert,,Mighty Ducks
Peter Forsberg,2000-01 Topps Stars Walk of Fame #WF4,Insert,,Avalanche
Paul Kariya,2000-01 Ultimate Victory UV Extra #UV-5,Insert,,Mighty Ducks
Sean Burke,2000-01 Upper Deck Black Diamond Game Gear Blocker #B-SB,Game Used,,Hurricanes
Tommy Salo,2000-01 Upper Deck Black Diamond Game Gear Blocker #B-TS,Game Used,,Oilers
Byron Dafoe,2000-01 Upper Deck Black Diamond Game Gear Leg Pads #L-BD,Game Used,,Bruins
Steve Shields,2000-01 Upper Deck Black Diamond Game Gear Leg Pads #L-SS,Game Used,,Sharks
Steve Shields,2000-01 Upper Deck Black Diamond Game Gear Leg Pads #L-SS,Game Used,,Sharks
Ray Bourque,2000-01 Upper Deck Dignitaries #D2,Insert,,Avalanche
Paul Kariya,2000-01 Upper Deck Game Jersey Patch,Game Used,,Mighty Ducks
Paul Kariya,2000-01 Upper Deck Gate Attractions #GA1,Insert,,Mighty Ducks
Steve Yzerman,2000-01 Upper Deck Gate Attractions #GA6,Insert,,Red Wings
John LeClair,2000-01 Upper Deck Gate Attractions #GA9,Insert,,Flyers
Patrick Roy,2000-01 Upper Deck Heroes Second Season Heroes #SS1,Insert,,Avalanche
Teemu Selanne,2000-01 Upper Deck Ice Gallery #IG1,Insert,,Mighty Ducks
Brendan Shanahan,2000-01 Upper Deck Ice Gallery #IG3,Insert,,Red Wings
Scott Gomez,2000-01 Upper Deck Ice Gallery #IG5,Insert,,Devils
Vincent Lecavalier,2000-01 Upper Deck Ice Gallery #IG8,Insert,,Lightning
Joe Thornton,2000-01 Upper Deck Ice Game Jersey #I-JT,Game Used,,Bruins
John LeClair,2000-01 Upper Deck Ice Game Jersey #JC-JL,Game Used,,Flyers
Teemu Selanne,2000-01 Upper Deck Ice Game Jersey #JC-TS,Game Used,,Mighty Ducks
Paul Kariya,2000-01 Upper Deck Ice Ice Rink Favorites #FP1,Insert,,Mighty Ducks
Peter Forsberg,2000-01 Upper Deck Ice Ice Rink Favorites #FP2,Insert,,Avalanche
Mike Modano,2000-01 Upper Deck Ice Ice Rink Favorites #FP4,Insert,,Stars
Pavel Bure,2000-01 Upper Deck Ice Ice Rink Favorites #FP6,Insert,,Panthers
Jaromir Jagr,2000-01 Upper Deck Ice Ice Rink Favorites #FP9,Insert,,Penguins
Jeremy Roenick,2000-01 Upper Deck Legends Legendary Collection Gold #102,Parallel,074/375,Coyotes
Keith Tkachuk,2000-01 Upper Deck Legends Legendary Collection Gold #103,Parallel,189/375,Coyotes
Doug Gilmour,2000-01 Upper Deck Legends Legendary Collection Gold #17,Parallel,305/375,Sabres
Brendan Shanahan,2000-01 Upper Deck Legends Legendary Collection Gold #44,Parallel,091/375,Red Wings
Luc Robitaille,2000-01 Upper Deck Legends Supreme Milestones #SM10,Insert,,Kings
Mike Bossy,2000-01 Upper Deck Legends Supreme Milestones #SM12,Insert,,Islanders
Brett Hull,2000-01 Upper Deck Legends Supreme Milestones #SM6,Insert,,Stars
Teemu Selanne,2000-01 Upper Deck MVP Game Used Souvenirs #GS-TS,Game Used,,Mighty Ducks
Tony Amonte,2000-01 Upper Deck MVP Second Star #46,Parallel,087/100,Blackhawks
Bill Guerin,2000-01 Upper Deck MVP Second Star #73,Parallel,005/100,Oilers
Paul Kariya,2000-01 Upper Deck MVP Talent #M1,Insert,,Mighty Ducks
Theoren Fleury,2000-01 Upper Deck MVP Talent #M11,Insert,,Rangers
Eric Lindros,2000-01 Upper Deck MVP Talent #M12,Insert,,Flyers
Jeremy Roenick,2000-01 Upper Deck MVP Talent #M15,Insert,,Coyotes
Teemu Selanne,2000-01 Upper Deck MVP Talent #M2,Insert,,Mighty Ducks
Brett Hull,2000-01 Upper Deck MVP Talent #M6,Insert,,Stars
Pavel Bure,2000-01 Upper Deck MVP Talent #M8,Insert,,Panthers
Daniel Alfredsson,2000-01 Upper Deck MVP Third Star #122,Parallel,,Senators
Peter Forsberg,2000-01 Upper Deck MVP Top Draws #TD3,Insert,,Avalanche
Scott Gomez,2000-01 Upper Deck MVP Top Draws #TD6,Insert,,Devils
Theoren Fleury,2000-01 Upper Deck MVP Valuable Commodities #VC7,Insert,,Rangers
Brendan Shanahan,2000-01 Upper Deck Pros & Prospects Championship Rings #CR2,Insert,,Red Wings
Scott Stevens,2000-01 Upper Deck Pros & Prospects Championship Rings #CR5,Insert,,Devils
Mark Messier,2000-01 Upper Deck Pros & Prospects Championship Rings #CR7,Insert,,Rangers
Brendan Shanahan,2000-01 Upper Deck Pros & Prospects Great Skates #GS4,Insert,,Red Wings
Pavel Bure,2000-01 Upper Deck Pros & Prospects Great Skates #GS5,Insert,,Panthers
Brett Hull,2000-01 Upper Deck Pros & Prospects NHL Passion #NP2,Insert,,Stars
Teemu Selanne,2000-01 Upper Deck Pros & Prospects Promotion #PM1,Insert,,Mighty Ducks
Mike Modano,2000-01 Upper Deck Pros & Prospects Promotion #PM5,Insert,,Stars
John LeClair,2000-01 Upper Deck Pros & Prospects Promotion #PM8,Insert,,Flyers
Paul Kariya,2000-01 Upper Deck Reserve On-Ice Success #OS1,Insert,,Mighty Ducks
Tony Amonte,2000-01 Upper Deck Reserve On-Ice Success #OS2,Insert,,Blackhawks
Brett Hull,2000-01 Upper Deck Reserve Power Portfolios #PP2,Insert,,Stars
Pavel Bure,2000-01 Upper Deck Reserve The Big Ticket #BT5,Insert,,Panthers
Paul Kariya,2000-01 Upper Deck Rise to Prominence #RP1,Insert,,Mighty Ducks
Paul Kariya,2000-01 Upper Deck Skilled Stars #SS1,Insert,,Mighty Ducks
John LeClair,2000-01 Upper Deck Skilled Stars #SS15,Insert,,Flyers
Teemu Selanne,2000-01 Upper Deck Skilled Stars #SS2,Insert,,Mighty Ducks
Peter Forsberg,2000-01 Upper Deck Skilled Stars #SS6,Insert,,Avalanche
Mike Modano,2000-01 Upper Deck Skilled Stars #SS8,Insert,,Stars
Sergei Fedorov,2000-01 Upper Deck Skilled Stars #SS9,Insert,,Red Wings
Jeremy Roenick/John LeClair/Brett Hull,2000-01 Upper Deck Triple Thr3ats #TT4,Insert,,Coyotes/Flyers/Stars
Chris Pronger/Rob Blake/Ray Bourque,2000-01 Upper Deck Triple Thr3ats #TT8,Insert,,Blues/Kings/Avalanche
Scott Gomez,2000-01 Upper Deck UD Flashback #UD4,Insert,,Devils
Olaf Kolzig,2000-01 Upper Deck UD Flashback #UD8,Insert,,Capitals
Jocelyn Thibault,2001-02 BAP Between the Pipes He Shoots-He Scores Points,Insert,,Blackhawks
Roman Turek,2001-02 BAP Between the Pipes He Shoots-He Scores Points,Insert,,Flames
Chris Osgood,2001-02 BAP Memorabilia Ruby #37,Parallel,170/200,Red Wings
